prov_name,pop_density,percent_old,median_age,gdp_per_capita,transit,coast
A CORUÑA,144.5688005,19.14,46.92,22463,0,1
ALBACETE,26.00330806,19.4,43.33,19073,0,0
ALICANTE,319.5252798,19.2,43.58,18302,0,1
ALMERIA,81.6818362,20.05,40.19,19078,0,1
ARABA/ALAVA,109.1864856,15.19,44.38,36001,0,0
ASTURIAS,96.44561871,21.14,48.28,20920,0,1
AVILA,19.58384586,25.66,47.48,18700,0,0
BADAJOZ,30.94272795,25.62,43.38,16838,0,0
BARCELONA,732.6736568,15.82,42.87,28794,1,1
BIZKAIA,520.9859996,19.19,46.01,29904,1,1
BURGOS,24.97237406,23.07,46.54,26783,0,0
CACERES,19.83644414,23.75,45.98,17589,0,0
CADIZ,166.7493119,22.72,41.51,16666,0,1
CANTABRIA,109.2077751,16.41,45.57,21905,0,1
CASTELLON,173.2758954,21.9,43.33,25000,0,1
CEUTA,4245.217827,11.71,38.42,23274,0,1
CIUDAD REAL,25.023441,19.42,43.83,19849,0,0
CORDOBA,56.8569469,20.18,43.21,17094,0,0
CUENCA,11.45464707,24.57,45.75,20820,0,0
GIPUZKOA,581.0866535,22.86,45.06,30489,0,1
GIRONA,130.4703264,22.54,42.25,27759,0,1
GRANADA,72.31968519,18.29,42.33,17261,0,0
GUADALAJARA,21.10832464,17.92,41.56,18198,0,0
HUELVA,51.52215904,15.99,41.64,17731,0,1
HUESCA,14.09581374,16.6,45.53,27601,0,0
ILLES BALEARS,231.0120547,19.43,41.48,26093,0,1
JAEN,46.94503768,22.59,43.33,16871,0,0
LA RIOJA,227.846238,22.5,44.49,25636,0,0
LAS PALMAS,276.441115,25.26,41.92,19399,0,1
LEON,29.52228715,19.17,48.87,19734,0,0
LLEIDA,35.72955348,26.88,43.41,28211,0,0
LUGO,33.43383176,19.54,49.8,22261,0,0
MADRID,829.7575728,29.01,42.35,32840,1,0
MALAGA,227.3058648,17.86,42.08,17228,0,1
MELILLA,6099.222426,10.27,36.55,21866,0,1
MURCIA,132.1280529,17.46,40.55,19997,0,1
NAVARRA,62.93008089,15.78,43.27,29375,0,0
OURENSE,42.2853912,19.8,50.67,20201,0,1
PALENCIA,19.99509363,31.36,47.95,25599,0,0
PONTEVEDRA,209.9689675,15.16,45.6,20463,0,1
SALAMANCA,26.72986012,21.11,48.04,19561,0,0
SEGOVIA,22.12141522,17.35,45.77,21880,0,0
SEVILLA,138.3900145,22.45,41.23,18813,1,0
SORIA,8.60003529,16.44,47.45,24098,0,0
STA. CRUZ DE TENERIFE,305.7985588,26.41,43.11,19843,0,1
TARRAGONA,127.6334678,25.52,42.77,29012,0,1
TERUEL,9.057564674,19.12,46.51,23950,0,0
TOLEDO,45.21297114,24.23,42.21,17357,0,0
VALENCIA,237.3281804,18.02,43.23,21964,1,1
VALLADOLID,64.06072241,19.14,45.91,24664,0,0
ZAMORA,16.33699179,22.9,50.68,19537,0,0
ZARAGOZA,55.84279409,30.51,44.41,25901,0,0
