province_code,province,population,lat,lon,fecha,numbers_cases,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida
2,Albacete,388167,38.99424,-1.85643,1/19/2021,68,59,0,9,0,0
3,Alicante/Alacant,1858683,38.34517,-0.48149,1/19/2021,575,423,0,152,0,0
4,Ameria,716820,36.83814,-2.45974,1/19/2021,36,15,0,21,0,0
1,Araba/Alava,331549,42.8540156,-2.747198,1/19/2021,41,1,0,40,0,0
33,Asturias,1022800,43.36029,-5.84476,1/19/2021,43,0,0,43,0,0
5,Avila,157640,40.65724,-4.69951,1/19/2021,75,5,0,70,0,0
6,Badajoz,673559,38.87789,-6.97061,1/19/2021,66,29,0,37,0,0
7,"Balears, Illes",1149460,39.56939,2.65024,1/19/2021,124,71,0,53,0,0
8,Barcelona,5664579,41.38879,2.15899,1/19/2021,2721,2718,0,0,2,1
48,Bizkaia,1152651,43.26271,-2.92528,1/19/2021,219,5,0,214,0,0
9,Burgos,356958,42.35022,-3.67527,1/19/2021,134,6,0,128,0,0
10,Caceres,394151,39.47649,-6.37224,1/19/2021,71,57,0,14,0,0
11,Cadiz,1240155,36.52978,-6.29465,1/19/2021,64,63,0,1,0,0
39,Cantabria,581078,43.46472,-3.80444,1/19/2021,24,22,0,2,0,0
12,Castellon/Castello,579962,39.987491,-0.0655726,1/19/2021,77,58,0,19,0,0
51,Ceuta,84777,35.8891209,-5.3535454,1/19/2021,24,2,0,22,0,0
13,Ciudad Real,495761,38.9861052,-3.9620076,1/19/2021,213,208,0,5,0,0
14,Cordoba,782979,37.8916069,-4.8195049,1/19/2021,84,79,0,5,0,0
15,"Coruca, A",1119596,43.3619312,-8.4477033,1/19/2021,155,85,0,70,0,0
16,Cuenca,196329,40.0620325,-2.1830445,1/19/2021,84,65,0,19,0,0
20,Gipuzkoa,723576,43.145737,-2.4462068,1/19/2021,98,0,0,98,0,0
17,Girona,771044,41.9803112,2.7836476,1/19/2021,149,147,0,0,2,0
18,Granada,914678,37.1810095,-3.6262914,1/19/2021,7,7,0,0,0,0
19,Guadalajara,257762,40.6322214,-3.1906821,1/19/2021,82,80,0,2,0,0
21,Huelva,521870,37.270931,-6.97471,1/19/2021,42,37,0,5,0,0
22,Huesca,220461,42.1359368,-0.423358,1/19/2021,29,22,0,7,0,0
23,Jaen,633564,37.780157,-3.8318846,1/19/2021,49,30,0,19,0,0
24,Leon,460001,42.6036635,-5.6124109,1/19/2021,152,61,0,91,0,0
25,Lleida,434930,41.6184012,0.5849153,1/19/2021,160,160,0,0,0,0
27,Lugo,329587,43.0123411,-7.5915197,1/19/2021,16,8,0,8,0,0
28,Madrid,6663394,40.4381311,-3.8196233,1/19/2021,6134,3445,0,2689,0,0
29,Malaga,1661785,36.765025,-4.5642763,1/19/2021,223,149,0,74,0,0
52,Melilla,86487,35.2863161,-2.9620361,1/19/2021,37,9,0,28,0,0
30,Murcia,1493898,37.9805949,-1.1621949,1/19/2021,487,256,0,229,0,2
31,Navarra,654214,42.8157607,-1.6850412,1/19/2021,128,75,0,53,0,0
32,Ourense,307651,42.1926924,-8.11062,1/19/2021,37,24,0,13,0,0
34,PaLeoncia,160980,42.0088746,-4.5619734,1/19/2021,79,20,0,59,0,0
35,"Palmas, Las",1120406,28.117432,-15.4746368,1/19/2021,123,83,0,40,0,0
36,Pontevedra,942665,42.4338911,-8.6568553,1/19/2021,108,70,0,38,0,0
26,"Rioja, La",316798,42.2813011,-2.9669573,1/19/2021,53,49,0,4,0,0
37,Salamanca,330119,40.963498,-5.7042317,1/19/2021,119,73,0,46,0,0
38,Santa Cruz de Tenerife,1032983,28.4578914,-16.3213543,1/19/2021,20,11,0,9,0,0
40,Segovia,153129,40.9413097,-4.1472215,1/19/2021,120,86,0,34,0,0
41,Sevilla,1942389,37.3754865,-6.0250989,1/19/2021,174,144,0,30,0,0
42,Soria,88636,41.7671522,-2.4920887,1/19/2021,33,22,0,11,0,0
43,Tarragona,804664,41.1258642,1.2035638,1/19/2021,482,482,0,0,0,0
44,Teruel,134137,40.3450697,-1.1359845,1/19/2021,117,94,0,23,0,0
45,Toledo,694844,39.86232,-4.0694706,1/19/2021,141,127,0,14,0,0
46,Valencia/Valencia,2565124,39.4079665,-0.5015981,1/19/2021,1177,894,0,283,0,0
47,Valladolid,519546,41.7034247,-4.9488985,1/19/2021,283,20,0,263,0,0
