region;value;age
Albacete;2896;0
Alicante/Alacant;13760;0
Almeria;7243;0
Araba/Alava;2601;0
Asturias;5405;0
Avila;962;0
Badajoz;5076;0
Balears Illes;9593;0
Barcelona;44727;0
Bizkaia;7710;0
Burgos;2357;0
Caceres;2511;0
Cadiz;9811;0
Cantabria;3622;0
Castellon/Castello;4393;0
CiudadReal;3594;0
Cordoba;6090;0
CoruaA;6812;0
Cuenca;869;0
Gipuzkoa;5248;0
Girona;6496;0
Granada;7373;0
Guadalajara;2097;0
Huelva;4194;0
Huesca;1568;0
Jaen;4292;0
Leon;2481;0
Lleida;3501;0
Lugo;1853;0
Madrid;55776;0
Malaga;13179;0
Murcia;13761;0
Navarra;5403;0
Ourense;1450;0
Palencia;965;0
PalmasLas;7505;0
Pontevedra;5946;0
Rioja La;2365;0
Salamanca;1991;0
Santa Cruz de Tenerife;6690;0
Segovia;1067;0
Sevilla;15862;0
Soria;610;0
Tarragona;6221;0
Teruel;973;0
Toledo;5572;0
Valencia/Valencia;18802;0
Valladolid;3407;0
Zamora;845;0
Zaragoza;7122;0
Ceuta;862;0
Melilla;1115;0
Albacete;3176;1
Alicante/Alacant;15136;1
Almeria;7617;1
Araba/Alava;2862;1
Asturias;5965;1
Avila;1057;1
Badajoz;5499;1
Balears Illes;10560;1
Barcelona;48845;1
Bizkaia;8344;1
Burgos;2449;1
Caceres;2689;1
Cadiz;10637;1
Cantabria;4035;1
Castellon/Castello;4821;1
CiudadReal;3887;1
Cordoba;6407;1
CoruaA;7600;1
Cuenca;1371;1
Gipuzkoa;5612;1
Girona;7101;1
Granada;7801;1
Guadalajara;2261;1
Huelva;4531;1
Huesca;1752;1
Jaen;4907;1
Leon;2686;1
Lleida;3682;1
Lugo;2050;1
Madrid;59857;1
Malaga;14384;1
Murcia;15050;1
Navarra;5733;1
Ourense;1625;1
Palencia;1032;1
PalmasLas;8192;1
Pontevedra;6554;1
Rioja La;2509;1
Salamanca;2069;1
Santa Cruz de Tenerife;7512;1
Segovia;1087;1
Sevilla;17617;1
Soria;617;1
Tarragona;7029;1
Teruel;964;1
Toledo;6177;1
Valencia/Valencia;20394;1
Valladolid;3680;1
Zamora;892;1
Zaragoza;7802;1
Ceuta;974;1
Melilla;1291;1
Albacete;3368;2
Alicante/Alacant;16140;2
Almeria;7915;2
Araba/Alava;3086;2
Asturias;6370;2
Avila;1147;2
Badajoz;5838;2
Balears Illes;10933;2
Barcelona;51662;2
Bizkaia;8995;2
Burgos;2631;2
Caceres;2852;2
Cadiz;11543;2
Cantabria;4335;2
Castellon/Castello;5189;2
CiudadReal;4192;2
Cordoba;6773;2
CoruaA;8282;2
Cuenca;1497;2
Gipuzkoa;5967;2
Girona;7460;2
Granada;8468;2
Guadalajara;2433;2
Huelva;4813;2
Huesca;1814;2
Jaen;5151;2
Leon;2838;2
Lleida;3937;2
Lugo;2154;2
Madrid;63458;2
Malaga;15455;2
Murcia;15662;2
Navarra;6119;2
Ourense;1792;2
Palencia;1082;2
PalmasLas;8785;2
Pontevedra;7065;2
Rioja La;2714;2
Salamanca;2162;2
Santa Cruz de Tenerife;8026;2
Segovia;1158;2
Sevilla;18703;2
Soria;650;2
Tarragona;7484;2
Teruel;1024;2
Toledo;6669;2
Valencia/Valencia;21999;2
Valladolid;3981;2
Zamora;918;2
Zaragoza;8385;2
Ceuta;1005;2
Melilla;1316;2
Albacete;3515;3
Alicante/Alacant;16841;3
Almeria;8119;3
Araba/Alava;3220;3
Asturias;6631;3
Avila;1169;3
Badajoz;5914;3
Balears Illes;11301;3
Barcelona;53466;3
Bizkaia;9460;3
Burgos;2821;3
Caceres;2946;3
Cadiz;12130;3
Cantabria;4489;3
Castellon/Castello;5384;3
CiudadReal;4334;3
Cordoba;7075;3
CoruaA;8651;3
Cuenca;1592;3
Gipuzkoa;6387;3
Girona;7777;3
Granada;8819;3
Guadalajara;2609;3
Huelva;4962;3
Huesca;1889;3
Jaen;5411;3
Leon;3051;3
Lleida;4121;3
Lugo;2201;3
Madrid;66228;3
Malaga;16123;3
Murcia;16211;3
Navarra;6336;3
Ourense;1874;3
Palencia;1146;3
PalmasLas;9022;3
Pontevedra;7178;3
Rioja La;2815;3
Salamanca;2338;3
Santa Cruz de Tenerife;8322;3
Segovia;1225;3
Sevilla;19549;3
Soria;689;3
Tarragona;7871;3
Teruel;1057;3
Toledo;6957;3
Valencia/Valencia;23180;3
Valladolid;4254;3
Zamora;956;3
Zaragoza;8764;3
Ceuta;1034;3
Melilla;1391;3
Albacete;3606;4
Alicante/Alacant;17382;4
Almeria;8173;4
Araba/Alava;3331;4
Asturias;6797;4
Avila;1213;4
Badajoz;6027;4
Balears Illes;11487;4
Barcelona;54459;4
Bizkaia;9772;4
Burgos;2925;4
Caceres;2997;4
Cadiz;12268;4
Cantabria;4631;4
Castellon/Castello;5467;4
CiudadReal;4316;4
Cordoba;7208;4
CoruaA;8636;4
Cuenca;1619;4
Gipuzkoa;6560;4
Girona;7949;4
Granada;8754;4
Guadalajara;2669;4
Huelva;5169;4
Huesca;1909;4
Jaen;5487;4
Leon;3118;4
Lleida;4249;4
Lugo;2203;4
Madrid;67468;4
Malaga;16537;4
Murcia;16612;4
Navarra;6533;4
Ourense;1926;4
Palencia;1209;4
PalmasLas;9155;4
Pontevedra;7468;4
Rioja La;2936;4
Salamanca;2405;4
Santa Cruz de Tenerife;8567;4
Segovia;1290;4
Sevilla;20077;4
Soria;687;4
Tarragona;8110;4
Teruel;1104;4
Toledo;7083;4
Valencia/Valencia;23898;4
Valladolid;4390;4
Zamora;998;4
Zaragoza;9050;4
Ceuta;1080;4
Melilla;1476;4
Albacete;3622;  5 
Alicante/Alacant;17417;  5 
Almeria;8066;  5 
Araba/Alava;3321;  5 
Asturias;6925;  5 
Avila;1224;  5 
Badajoz;6063;  5 
Balears Illes;11482;  5 
Barcelona;54408;  5 
Bizkaia;9954;  5 
Burgos;3038;  5 
Caceres;3001;  5 
Cadiz;12265;  5 
Cantabria;4826;  5 
Castellon/Castello;5614;  5 
CiudadReal;4402;  5 
Cordoba;7235;  5 
CoruaA;8663;  5 
Cuenca;1624;  5 
Gipuzkoa;6546;  5 
Girona;7926;  5 
Granada;8582;  5 
Guadalajara;2713;  5 
Huelva;5288;  5 
Huesca;1945;  5 
Jaen;5467;  5 
Leon;3098;  5 
Lleida;4251;  5 
Lugo;2162;  5 
Madrid;67305;  5 
Malaga;16707;  5 
Murcia;16697;  5 
Navarra;6551;  5 
Ourense;1926;  5 
Palencia;1195;  5 
PalmasLas;9239;  5 
Pontevedra;7595;  5 
Rioja La;2981;  5 
Salamanca;2353;  5 
Santa Cruz de Tenerife;8441;  5 
Segovia;1288;  5 
Sevilla;20324;  5 
Soria;688;  5 
Tarragona;8058;  5 
Teruel;1159;  5 
Toledo;7161;  5 
Valencia/Valencia;24080;  5 
Valladolid;4459;  5 
Zamora;1030;  5 
Zaragoza;9074;  5 
Ceuta;1071;  5 
Melilla;1452;  5 
Albacete;3656;6
Alicante/Alacant;17777;6
Almeria;8003;6
Araba/Alava;3359;6
Asturias;7382;6
Avila;1225;6
Badajoz;6219;6
Balears Illes;11631;6
Barcelona;55634;6
Bizkaia;10239;6
Burgos;3148;6
Caceres;2956;6
Cadiz;12644;6
Cantabria;5079;6
Castellon/Castello;5772;6
CiudadReal;4655;6
Cordoba;7427;6
CoruaA;9031;6
Cuenca;1621;6
Gipuzkoa;6823;6
Girona;8126;6
Granada;8823;6
Guadalajara;2838;6
Huelva;5279;6
Huesca;2002;6
Jaen;5618;6
Leon;3195;6
Lleida;4321;6
Lugo;2217;6
Madrid;68200;6
Malaga;17205;6
Murcia;16818;6
Navarra;6729;6
Ourense;1949;6
Palencia;1190;6
PalmasLas;9362;6
Pontevedra;7830;6
Rioja La;3066;6
Salamanca;2429;6
Santa Cruz de Tenerife;8734;6
Segovia;1300;6
Sevilla;20709;6
Soria;723;6
Tarragona;8230;6
Teruel;1152;6
Toledo;7397;6
Valencia/Valencia;24797;6
Valladolid;4600;6
Zamora;1096;6
Zaragoza;9059;6
Ceuta;1065;6
Melilla;1399;6
Albacete;3806;7
Alicante/Alacant;18391;7
Almeria;8159;7
Araba/Alava;3536;7
Asturias;7917;7
Avila;1319;7
